prolificID,expName,t,trial,session,s,choice,outcome,destroyed,ff1,ff2,p1,p2,chosen_ff,chosen_s,model
610a1655e385fd7341e12778,FullPilot12,0,0,0,"(380, 720)",2,699,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,1,1,0,"(380, 280)",1,390,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,2,2,0,"(620, 280)",1,595,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,3,3,0,"(620, 720)",2,758,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,4,4,0,"(720, 280)",1,698,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,5,5,0,"(380, 280)",1,394,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,6,6,0,"(620, 280)",1,581,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,7,7,0,"(620, 280)",1,601,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,8,8,0,"(620, 380)",1,648,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,9,9,0,"(380, 280)",1,357,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,10,10,0,"(620, 720)",2,688,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,11,11,0,"(720, 280)",1,728,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,12,12,0,"(620, 380)",1,623,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,13,13,0,"(380, 280)",1,376,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,14,14,0,"(620, 720)",2,750,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,15,15,0,"(380, 280)",1,405,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,16,16,0,"(380, 280)",1,405,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,17,17,0,"(620, 380)",1,603,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,18,18,0,"(380, 720)",2,742,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,19,19,0,"(720, 280)",1,724,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,21,21,0,"(380, 720)",2,726,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,22,22,0,"(620, 720)",2,717,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,23,23,0,"(380, 720)",2,725,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,24,24,0,"(620, 380)",1,613,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,25,25,0,"(620, 380)",1,601,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,26,26,0,"(620, 280)",1,630,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,27,27,0,"(620, 720)",2,760,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,28,28,0,"(620, 720)",2,733,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,29,29,0,"(380, 720)",2,745,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,30,30,0,"(620, 280)",1,620,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,31,31,0,"(620, 280)",1,640,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,32,32,0,"(380, 720)",2,746,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,33,33,0,"(620, 280)",1,629,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,34,34,0,"(380, 720)",2,699,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,35,35,0,"(720, 280)",1,744,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,36,36,0,"(620, 380)",1,595,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,37,37,0,"(620, 720)",2,711,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,38,38,0,"(720, 280)",1,722,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,39,39,0,"(720, 280)",1,724,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,40,40,0,"(380, 280)",1,363,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,41,41,0,"(620, 720)",2,708,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,42,42,0,"(620, 380)",1,633,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,43,43,0,"(380, 280)",1,395,1,,,1.0,1.0,,380,True
610a1655e385fd7341e12778,FullPilot12,44,44,0,"(620, 380)",1,630,1,,,1.0,1.0,,620,True
610a1655e385fd7341e12778,FullPilot12,45,45,0,"(380, 720)",2,742,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,46,46,0,"(720, 280)",1,695,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,47,47,0,"(720, 280)",1,722,1,,,1.0,1.0,,720,True
610a1655e385fd7341e12778,FullPilot12,0,0,1,"(500, 500)",1,500,1,-0.25,-0.75,0.38,0.18,-0.25,500,True
610a1655e385fd7341e12778,FullPilot12,1,1,1,"(500, 500)",1,500,1,1.0,-0.25,0.88,0.38,1.0,500,True
610a1655e385fd7341e12778,FullPilot12,2,2,1,"(500, 500)",1,500,0,-0.25,0.25,0.38,0.62,-0.25,500,True
610a1655e385fd7341e12778,FullPilot12,3,3,1,"(500, 500)",1,500,0,-0.25,0.0,0.38,0.5,-0.25,500,True
610a1655e385fd7341e12778,FullPilot12,4,4,1,"(500, 500)",1,500,1,1.0,-0.5,0.88,0.27,1.0,500,True
610a1655e385fd7341e12778,FullPilot12,5,5,1,"(500, 500)",1,500,1,0.75,-0.75,0.82,0.18,0.75,500,True
610a1655e385fd7341e12778,FullPilot12,6,6,1,"(500, 500)",1,500,0,-1.0,-0.5,0.12,0.27,-1.0,500,True
610a1655e385fd7341e12778,FullPilot12,7,7,1,"(500, 500)",1,500,0,-0.25,0.75,0.38,0.82,-0.25,500,True
610a1655e385fd7341e12778,FullPilot12,8,8,1,"(500, 500)",1,500,1,1.0,0.5,0.88,0.73,1.0,500,True
610a1655e385fd7341e12778,FullPilot12,9,9,1,"(500, 500)",1,500,1,0.5,-0.5,0.73,0.27,0.5,500,True
